location,property_type,bhk,area_sqft,bathrooms,property_age,price_lakhs
Hyderabad,Apartment,2,1200,2,5,65
Hyderabad,Apartment,3,1650,3,8,92
Hyderabad,Villa,3,2200,3,4,145
Bangalore,Apartment,2,1150,2,5,72
Bangalore,Apartment,3,1600,3,7,98
Chennai,Apartment,2,1100,2,7,58
Chennai,Apartment,3,1500,3,5,78
Pune,Apartment,2,1050,2,5,62
Pune,Apartment,3,1550,3,4,88
Mumbai,Apartment,2,950,2,6,125
Mumbai,Apartment,3,1450,3,5,185
Hyderabad,Apartment,2,1250,2,3,68
Hyderabad,Apartment,3,1700,3,6,95
Hyderabad,Villa,4,2800,4,5,175
Hyderabad,Villa,3,2400,3,7,155
Hyderabad,Apartment,2,1050,2,10,60
Hyderabad,Apartment,4,2100,4,4,125
Hyderabad,Apartment,3,1800,3,9,100
Hyderabad,Villa,4,3000,4,8,190
Bangalore,Apartment,2,1200,2,4,76
Bangalore,Apartment,3,1750,3,6,105
Bangalore,Villa,3,2300,3,5,150
Bangalore,Villa,4,2900,4,7,185
Bangalore,Apartment,2,1000,2,8,68
Bangalore,Apartment,4,2200,4,3,135
Bangalore,Apartment,3,1550,3,10,94
Bangalore,Villa,4,3100,4,6,195
Chennai,Apartment,2,1150,2,5,61
Chennai,Apartment,3,1600,3,6,82
Chennai,Villa,3,2250,3,4,125
Chennai,Villa,4,2800,4,7,155
Chennai,Apartment,2,1000,2,9,55
Chennai,Apartment,4,2050,4,5,108
Chennai,Apartment,3,1450,3,8,75
Chennai,Villa,4,3000,4,6,170
Pune,Apartment,2,1100,2,4,64
Pune,Apartment,3,1650,3,5,91
Pune,Villa,3,2200,3,6,130
Pune,Villa,4,2750,4,8,160
Pune,Apartment,2,950,2,10,55
Pune,Apartment,4,2100,4,3,118
Pune,Apartment,3,1500,3,7,84
Pune,Villa,4,2900,4,5,175
Mumbai,Apartment,2,1000,2,5,132
Mumbai,Apartment,3,1500,3,6,190
Mumbai,Apartment,4,2100,4,4,280
Mumbai,Villa,3,2300,3,5,320
Mumbai,Villa,4,3000,4,7,450
Mumbai,Apartment,2,900,2,9,115
Mumbai,Apartment,3,1400,3,8,175
Mumbai,Villa,4,2800,4,6,420
Hyderabad,Apartment,2,1350,2,2,72
Bangalore,Apartment,3,1850,3,4,112
Chennai,Apartment,2,1250,2,3,66
Pune,Apartment,3,1750,3,4,96
Mumbai,Apartment,3,1600,3,5,210
Hyderabad,Villa,4,3200,4,3,205
Bangalore,Villa,4,3300,4,5,215
Chennai,Villa,3,2500,3,3,140
Pune,Villa,3,2400,3,5,145
Mumbai,Apartment,4,2300,4,3,310
